Team
Boston Celtics*
Golden State Warriors*
Phoenix Suns*
Memphis Grizzlies*
Miami Heat*
Dallas Mavericks*
Cleveland Cavaliers
Los Angeles Clippers
Utah Jazz*
Toronto Raptors*
New York Knicks
Philadelphia 76ers*
Minnesota Timberwolves*
Milwaukee Bucks*
Denver Nuggets*
San Antonio Spurs
Orlando Magic
Brooklyn Nets*
Oklahoma City Thunder
New Orleans Pelicans*
Los Angeles Lakers
Chicago Bulls*
Charlotte Hornets
Detroit Pistons
Washington Wizards
Atlanta Hawks*
Sacramento Kings
Indiana Pacers
Houston Rockets
Portland Trail Blazers
